Deviceset	Package	Technology	Device name	Order code type	Order code	Manuf. code	Description
PINHEAD-1X14	PINHEAD-1X14-SQUARE	''	PINHEAD-1X14'	Farnell	not assigned		
PINHEAD-1X19	PINHEAD-1X19	''	PINHEAD-1X19	Farnell	not assigned		
PINHEAD-1X19	PINHEAD-1X19-SQUARE	''	PINHEAD-1X19.	Farnell	not assigned		
PINHEAD-2X10	PINHEAD-2X10-1.27MM	''	PINHEAD-2X10	Farnell	not assigned		
PINHEAD-10PINS	PINHEAD-1X10-SQUARE	''	PINHEAD-10PINS	Farnell	not assigned		
PINHEAD-10PINS	1.27MM_HEADER-SMT	''	PINHEAD-10PINS-1.27MM_2X5	Farnell	not assigned		
PINHEAD-10PINS	PINHEAD-1X10_2MM	''	PINHEAD-10PINS-2MM	Farnell	not assigned		
PIR-SENSOR	PIR-SENSOR	''	PIR-SENSOR	Farnell	not assigned		
POWER-PLUG-BOX	PPB-11861-BK	''	POWER-PLUG-BOX	Farnell	not assigned		
PPTC	PPTC1812	''	PPTC	Farnell	not assigned		
PTC	PTC-8.3MM_RADIUS	''	PTC	Farnell	not assigned		
PTR5528	PTR5528	''	PTR5528	Farnell	not assigned		
PUSHBUTTON	PUSHBUTTON	''	PUSHBUTTON	Farnell	not assigned		
PUSHBUTTON_SWITCH	PUSHBUTTON_SWITCH	''	PUSHBUTTON_SWITCH-ON-MOM	Farnell	not assigned		
PUSHBUTTON_SWITCH	PUSHBUTTON_SWITCH	''	PUSHBUTTON_SWITCH-ON-OFF	Farnell	not assigned		
RAK410	RAK410	''	RAK410	Farnell	not assigned		
REG1117	SOT223	''	REG1117	Farnell	not assigned		
RESISTOR	R0603	''	RESISTOR	Farnell	not assigned		
RESISTOR	R-0402	''	RESISTOR-0402	Farnell	not assigned		
RESISTOR	10555-METRIC	''	RESISTOR-POWER_RESISTOR	Farnell	not assigned		
RESISTOR-ARRAY-4	RESISTOR-ARRAY-4-0603	''	RESISTOR-ARRAY-4	Farnell	not assigned		
RESISTOR-ARRAY-7	SOIC-14	''	RESISTOR-ARRAY-7	Farnell	not assigned		
RESONATOR	RESONATOR-3PIN	''	RESONATOR	Farnell	not assigned		
RF-ANTENNA-4PAD	2.4GHZ-ON_GND-SMD-ANTENNA	''	RF-ANTENNA-4PAD	Farnell	not assigned		
RF-SMA	BU-SMA-H	''	RF-SMA	Farnell	not assigned		
RFM69HW	RFM69HW	''	RFM69HW	Farnell	not assigned		
RFM69W	RFM69W	''	RFM69W	Farnell	not assigned		
RGB-LED	LRTB-GFTM	''	RGB-LED	Farnell	not assigned		
RGBLED_CA	SML-LX0404SIUPGUSB	''	RGBLED_CA	Farnell	not assigned		
RIGHT_ANGLE_TAC	RIGHT_ANGLE_TAC	''	RIGHT_ANGLE_TAC	Farnell	not assigned		
RJ45	RJ-45-NOMAGNETICS_BI-LED	''	RJ45	Farnell	not assigned		
RS485	SO08	''	RS485	Farnell	not assigned		
RS485	SO08	''	RS485-3.3V	Farnell	not assigned		
RTC	RTC-2PIN-SMD	''	RTC	Farnell	not assigned		
SAM3U	100LQFP	''	SAM3U"	Farnell	not assigned		
SC4501	MSOP-8L-EDP	''	SC4501	Farnell	not assigned		
SCHOTTKY-DIODE	DO-214AB	''	SCHOTTKY-DIODE	Farnell	not assigned		
SCHOTTKY-DIODE	SMADIODE	''	SCHOTTKY-DIODESMA	Farnell	not assigned		
SCHOTTKY-DIODE	SCHOTTKY_SMA	''	SCHOTTKY-DIODESMA2	Farnell	not assigned		
SCREW_CONNECTOR-2PIN	SCREW_CONNECTOR-2PIN-2.54MM	''	SCREW_CONNECTOR-2PIN	Farnell	not assigned		
SCREW_CONNECTOR-2PIN	SCREW_CONNECTOR-2PIN-3.5MM	''	SCREW_CONNECTOR-2PIN'	Farnell	not assigned		
SCREW_CONNECTOR-2PIN	SCREW_CONNECTOR-2PIN-5.08MM	''	SCREW_CONNECTOR-2PIN-	Farnell	not assigned		
SCREW_CONNECTOR-6PIN	SCREW_CONNECTOR-6PIN	''	SCREW_CONNECTOR-6PIN	Farnell	not assigned		
SGTL5000	32QFN	''	SGTL5000	Farnell	not assigned		
SI3402	SI3402	''	SI3402	Farnell	not assigned		
SIM-HOLDER	SIM-HOLDER	''	SIM-HOLDER-TRAY	Farnell	not assigned		
SIM-HOLDER-HINGED	SIM-HOLDER-HINGED	''	SIM-HOLDER-HINGED	Farnell	not assigned		
SIM900	SIM900	''	SIM900	Farnell	not assigned		
SKW71	SKW71	''	SKW71	Farnell	not assigned		
SKW71	SKW71-SMT	''	SKW71-	Farnell	not assigned		
SLIDE-SWITCH-SPDT	SLIDE-SWITCH-SPDT	''	SLIDE-SWITCH-SPDT	Farnell	not assigned		
SLIDE-SWITCH-SPDT-3POSN	SLIDE-SWITCH-SPDT-3POSN	''	SLIDE-SWITCH-SPDT-3POSN	Farnell	not assigned		
SLIDING_SWITCH	SLIDING_SWITCH	''	SLIDING_SWITCH	Farnell	not assigned		
SN74HC164	14TSSOP	''	SN74HC164	Farnell	not assigned		
SN74HC164	SOIC-14	''	SN74HC164'	Farnell	not assigned		
SODIMM-LOCUX-SPECIAL	SODIMM-LOCUX-SPECIAL	''	SODIMM-LOCUX-SPECIAL	Farnell	not assigned		
SODIMM_BOARD	SODIMM_BOARD-67.6X42.5	''	SODIMM_BOARD	Farnell	not assigned		
SODIMM_BOARD	SODIMM-CONNECTOR-2.5V	''	SODIMM_BOARD-CONNECTOR	Farnell	not assigned		
